SolutionID,Z1,Z2,Z3,Z4,IsFeasible,Variant,Instance,Seed,Z1_common
r105_21_s2_1,15,1372.2938,0.088,223.9063,True,No-EQ,r105_21,2,15.0
r106_21_s8_5,14,1281.447,0.1251,229.2865,True,No-EQ,r106_21,8,14.0
r107_21_s8_5,12,1124.3969,0.0986,229.0575,True,No-EQ,r107_21,8,12.0
r108_21_s1_3,11,1050.6852,0.0524,229.3232,True,No-EQ,r108_21,1,11.0
r109_21_s1_0,13,1211.5773,0.1033,225.305,True,No-EQ,r109_21,1,13.0
r110_21_s2_3,12,1103.2221,0.0937,228.0682,True,No-EQ,r110_21,2,12.0
r111_21_s5_0,12,1117.4328,0.0718,226.2761,True,No-EQ,r111_21,5,12.0
r112_21_s10_6,11,1015.6179,0.0665,228.8052,True,No-EQ,r112_21,10,11.0
r201C10_s1_1,1,253.3431,0.0,660.9628,True,No-EQ,r201C10,1,1.0
r201_21_s4_0,4,1166.8555,0.0539,960.7774,True,No-EQ,r201_21,4,4.0
r202C15_s1_0,2,358.0048,0.0167,820.8617,True,No-EQ,r202C15,1,2.0
r202C5_s1_0,1,128.7771,0.0,428.8114,True,No-EQ,r202C5,1,1.0
r202_21_s3_0,3,1064.5402,0.1044,985.6278,True,No-EQ,r202_21,3,3.0
r203C10_s1_1,1,218.2135,0.0,704.6808,True,No-EQ,r203C10,1,1.0
r203C5_s1_0,1,179.0559,0.0,679.1391,True,No-EQ,r203C5,1,1.0
r203_21_s5_1,3,903.3312,0.0828,996.325,True,No-EQ,r203_21,5,3.0
r204_21_s10_1,3,720.1026,0.1399,978.8487,True,No-EQ,r204_21,10,3.0
r205_21_s8_2,3,1001.0599,0.0341,927.7488,True,No-EQ,r205_21,8,3.0
r206_21_s2_6,3,928.397,0.0617,953.161,True,No-EQ,r206_21,2,3.0
r207_21_s6_7,3,816.5645,0.1709,985.4301,True,No-EQ,r207_21,6,3.0
r208_21_s4_1,2,737.5285,0.0143,985.2092,True,No-EQ,r208_21,4,2.0
r209C15_s1_1,1,313.2366,0.0,840.414,True,No-EQ,r209C15,1,1.0
r209_21_s7_5,3,877.8584,0.0677,886.0361,True,No-EQ,r209_21,7,3.0
r210_21_s3_1,3,851.5517,0.0379,937.5476,True,No-EQ,r210_21,3,3.0
r211_21_s7_7,3,780.8277,0.0595,889.1569,True,No-EQ,r211_21,7,3.0
rc101_21_s8_6,16,1699.4761,0.1226,238.1962,True,No-EQ,rc101_21,8,16.0
rc102C10_s1_0,4,423.5102,0.1957,214.1655,True,No-EQ,rc102C10,1,4.0
rc102_21_s6_4,15,1551.5393,0.1451,239.1414,True,No-EQ,rc102_21,6,15.0
rc103C15_s1_1,4,397.6699,0.0644,216.3878,True,No-EQ,rc103C15,1,4.0
rc103_21_s9_2,13,1359.4087,0.1206,239.3553,True,No-EQ,rc103_21,9,13.0
rc104_21_s3_4,12,1229.2248,0.1283,239.0375,True,No-EQ,rc104_21,3,12.0
rc105C5_s1_0,2,241.2964,0.0407,181.0422,True,No-EQ,rc105C5,1,2.0
rc105_21_s9_4,14,1465.2037,0.1127,233.3786,True,No-EQ,rc105_21,9,14.0
rc106_21_s8_2,14,1429.3698,0.0909,231.9669,True,No-EQ,rc106_21,8,14.0
rc107_21_s7_1,12,1267.2562,0.0805,236.9709,True,No-EQ,rc107_21,7,12.0
rc108C10_s1_0,3,345.9273,0.1477,208.9448,True,No-EQ,rc108C10,1,3.0
rc108C15_s1_3,3,378.3555,0.0728,232.6712,True,No-EQ,rc108C15,1,3.0
rc108C5_s1_0,2,253.9307,0.0929,216.3119,True,No-EQ,rc108C5,1,2.0
rc108_21_s1_0,11,1189.7943,0.0525,237.8154,True,No-EQ,rc108_21,1,11.0
rc201C10_s1_0,1,412.8614,0.0,806.0416,True,No-EQ,rc201C10,1,1.0
rc201_21_s7_11,4,1463.9524,0.0631,953.8986,True,No-EQ,rc201_21,7,4.0
rc202C15_s1_0,2,394.3871,0.1141,839.2022,True,No-EQ,rc202C15,1,2.0
rc202_21_s4_10,4,1243.3291,0.1154,944.4447,True,No-EQ,rc202_21,4,4.0
rc203_21_s3_7,3,1087.1797,0.0603,951.6158,True,No-EQ,rc203_21,3,3.0
rc204C15_s1_1,1,385.4802,0.0,790.9133,True,No-EQ,rc204C15,1,1.0
rc204C5_s1_0,1,176.394,0.0,780.4421,True,No-EQ,rc204C5,1,1.0
rc204_21_s4_12,3,892.2999,0.1303,896.6755,True,No-EQ,rc204_21,4,3.0
rc205C10_s1_0,2,325.9774,0.1291,666.9442,True,No-EQ,rc205C10,1,2.0
rc205_21_s10_4,4,1177.1917,0.0894,930.5192,True,No-EQ,rc205_21,10,4.0
rc206_21_s2_2,4,1099.032,0.1047,903.3707,True,No-EQ,rc206_21,2,4.0
rc207_21_s4_10,3,996.624,0.0518,943.8866,True,No-EQ,rc207_21,4,3.0
