eta_D,eta_H,d_cap,h_cap,best_Gini,n_feasible,Variant,Instance
0.03,0.0,313.180049,3030.0,0.0,10,FULL,c202C10
0.05,0.0,319.261215,3030.0,0.0,10,FULL,c202C10
0.1,0.0,334.46413,3030.0,0.0,10,FULL,c202C10
0.0,0.05,304.0583,3181.5,0.0,10,FULL,c202C10
0.01,0.05,307.098883,3181.5,0.0,10,FULL,c202C10
0.03,0.05,313.180049,3181.5,0.0,10,FULL,c202C10
0.05,0.05,319.261215,3181.5,0.0,10,FULL,c202C10
0.1,0.05,334.46413,3181.5,0.0,10,FULL,c202C10
0.0,0.0,397.2287,2939.1172,0.0799,10,FULL,c202C15
0.01,0.0,401.200987,2939.1172,0.0159,20,FULL,c202C15
0.03,0.0,409.145561,2939.1172,0.0159,20,FULL,c202C15
0.05,0.0,417.09013500000003,2939.1172,0.0047,30,FULL,c202C15
0.1,0.0,436.95157000000006,2939.1172,0.0006,44,FULL,c202C15
0.0,0.05,397.2287,3086.07306,0.0799,10,FULL,c202C15
0.01,0.05,401.200987,3086.07306,0.0159,20,FULL,c202C15
0.03,0.05,409.145561,3086.07306,0.0159,20,FULL,c202C15
0.05,0.05,417.09013500000003,3086.07306,0.0047,30,FULL,c202C15
0.1,0.05,436.95157000000006,3086.07306,0.0006,44,FULL,c202C15
0.0,0.0,629.9494,3229.6619,,0,FULL,c202_21
0.01,0.0,636.248894,3229.6619,,0,FULL,c202_21
0.03,0.0,648.847882,3229.6619,,0,FULL,c202_21
0.05,0.0,661.44687,3229.6619,0.0773,9,FULL,c202_21
0.1,0.0,692.94434,3229.6619,0.0461,40,FULL,c202_21
0.0,0.05,629.9494,3391.144995,0.1553,10,FULL,c202_21
0.01,0.05,636.248894,3391.144995,0.1553,10,FULL,c202_21
0.03,0.05,648.847882,3391.144995,0.1107,46,FULL,c202_21
0.05,0.05,661.44687,3391.144995,0.0725,92,FULL,c202_21
0.1,0.05,692.94434,3391.144995,0.0289,198,FULL,c202_21
0.0,0.0,629.9494,3229.6619,,0,FULL,c203_21
0.01,0.0,636.248894,3229.6619,,0,FULL,c203_21
0.03,0.0,648.847882,3229.6619,,0,FULL,c203_21
0.05,0.0,661.44687,3229.6619,0.11,6,FULL,c203_21
0.1,0.0,692.94434,3229.6619,0.0256,78,FULL,c203_21
0.0,0.05,629.9494,3391.144995,0.1553,5,FULL,c203_21
0.01,0.05,636.248894,3391.144995,0.155,9,FULL,c203_21
0.03,0.05,648.847882,3391.144995,0.124,42,FULL,c203_21
0.05,0.05,661.44687,3391.144995,0.0904,88,FULL,c203_21
0.1,0.05,692.94434,3391.144995,0.0256,185,FULL,c203_21
0.0,0.0,629.9494,3229.6619,,0,FULL,c204_21
0.01,0.0,636.248894,3229.6619,,0,FULL,c204_21
0.03,0.0,648.847882,3229.6619,0.0922,2,FULL,c204_21
0.05,0.0,661.44687,3229.6619,0.0195,28,FULL,c204_21
0.1,0.0,692.94434,3229.6619,0.0018,91,FULL,c204_21
0.0,0.05,629.9494,3391.144995,0.1553,3,FULL,c204_21
0.01,0.05,636.248894,3391.144995,0.1365,26,FULL,c204_21
0.03,0.05,648.847882,3391.144995,0.0922,56,FULL,c204_21
0.05,0.05,661.44687,3391.144995,0.0195,107,FULL,c204_21
0.1,0.05,692.94434,3391.144995,0.0018,175,FULL,c204_21
0.0,0.0,228.2812,2739.5529,0.035,10,FULL,c205C10
0.01,0.0,230.56401200000002,2739.5529,0.0326,12,FULL,c205C10
0.03,0.0,235.129636,2739.5529,0.004,22,FULL,c205C10
0.05,0.0,239.69526000000002,2739.5529,0.004,22,FULL,c205C10
0.1,0.0,251.10932000000003,2739.5529,0.0007,41,FULL,c205C10
0.0,0.05,228.2812,2876.530545,0.035,10,FULL,c205C10
0.01,0.05,230.56401200000002,2876.530545,0.0326,12,FULL,c205C10
0.03,0.05,235.129636,2876.530545,0.004,22,FULL,c205C10
0.05,0.05,239.69526000000002,2876.530545,0.004,22,FULL,c205C10
0.1,0.05,251.10932000000003,2876.530545,0.0007,41,FULL,c205C10
0.0,0.0,629.9494,3069.6619,,0,FULL,c205_21
0.01,0.0,636.248894,3069.6619,,0,FULL,c205_21
0.03,0.0,648.847882,3069.6619,,0,FULL,c205_21
0.05,0.0,661.44687,3069.6619,,0,FULL,c205_21
0.1,0.0,692.94434,3069.6619,,0,FULL,c205_21
0.0,0.05,629.9494,3223.144995,,0,FULL,c205_21
0.01,0.05,636.248894,3223.144995,,0,FULL,c205_21
0.03,0.05,648.847882,3223.144995,0.1107,5,FULL,c205_21
0.05,0.05,661.44687,3223.144995,0.0691,35,FULL,c205_21
0.1,0.05,692.94434,3223.144995,0.0345,127,FULL,c205_21
0.0,0.0,242.5557,2200.0288,,0,FULL,c206C5
0.01,0.0,244.981257,2200.0288,,0,FULL,c206C5
0.03,0.0,249.832371,2200.0288,,0,FULL,c206C5
0.05,0.0,254.68348500000002,2200.0288,,0,FULL,c206C5
0.1,0.0,266.81127000000004,2200.0288,0.0,10,FULL,c206C5
0.0,0.05,242.5557,2310.03024,,0,FULL,c206C5
0.01,0.05,244.981257,2310.03024,,0,FULL,c206C5
0.03,0.05,249.832371,2310.03024,0.0,10,FULL,c206C5
0.05,0.05,254.68348500000002,2310.03024,0.0,10,FULL,c206C5
0.1,0.05,266.81127000000004,2310.03024,0.0,20,FULL,c206C5
0.0,0.0,629.9494,2909.1655,,0,FULL,c206_21
0.01,0.0,636.248894,2909.1655,,0,FULL,c206_21
0.03,0.0,648.847882,2909.1655,,0,FULL,c206_21
0.05,0.0,661.44687,2909.1655,,0,FULL,c206_21
0.1,0.0,692.94434,2909.1655,,0,FULL,c206_21
0.0,0.05,629.9494,3054.623775,,0,FULL,c206_21
0.01,0.05,636.248894,3054.623775,,0,FULL,c206_21
0.03,0.05,648.847882,3054.623775,,0,FULL,c206_21
0.05,0.05,661.44687,3054.623775,0.0756,2,FULL,c206_21
0.1,0.05,692.94434,3054.623775,0.0355,54,FULL,c206_21
0.0,0.0,629.9494,2906.1172,,0,FULL,c207_21
0.01,0.0,636.248894,2906.1172,,0,FULL,c207_21
0.03,0.0,648.847882,2906.1172,,0,FULL,c207_21
0.05,0.0,661.44687,2906.1172,,0,FULL,c207_21
0.1,0.0,692.94434,2906.1172,,0,FULL,c207_21
0.0,0.05,629.9494,3051.42306,,0,FULL,c207_21
0.01,0.05,636.248894,3051.42306,,0,FULL,c207_21
0.03,0.05,648.847882,3051.42306,,0,FULL,c207_21
0.05,0.05,661.44687,3051.42306,0.0714,23,FULL,c207_21
0.1,0.05,692.94434,3051.42306,0.035,65,FULL,c207_21
0.0,0.0,300.5485,2839.8284,,0,FULL,c208C15
0.01,0.0,303.553985,2839.8284,,0,FULL,c208C15
0.03,0.0,309.564955,2839.8284,,0,FULL,c208C15
0.05,0.0,315.575925,2839.8284,,0,FULL,c208C15
0.1,0.0,330.60335000000003,2839.8284,0.1514,6,FULL,c208C15
0.0,0.05,300.5485,2981.81982,0.0509,10,FULL,c208C15
0.01,0.05,303.553985,2981.81982,0.0509,10,FULL,c208C15
0.03,0.05,309.564955,2981.81982,0.0031,20,FULL,c208C15
0.05,0.05,315.575925,2981.81982,0.0031,20,FULL,c208C15
0.1,0.05,330.60335000000003,2981.81982,0.0007,50,FULL,c208C15
0.0,0.0,158.4807,1920.4024,,0,FULL,c208C5
0.01,0.0,160.06550700000003,1920.4024,,0,FULL,c208C5
0.03,0.0,163.23512100000002,1920.4024,,0,FULL,c208C5
0.05,0.0,166.40473500000002,1920.4024,0.0,10,FULL,c208C5
0.1,0.0,174.32877000000002,1920.4024,0.0,10,FULL,c208C5
0.0,0.05,158.4807,2016.42252,,0,FULL,c208C5
0.01,0.05,160.06550700000003,2016.42252,,0,FULL,c208C5
0.03,0.05,163.23512100000002,2016.42252,,0,FULL,c208C5
0.05,0.05,166.40473500000002,2016.42252,0.0,10,FULL,c208C5
0.1,0.05,174.32877000000002,2016.42252,0.0,10,FULL,c208C5
0.0,0.0,629.9494,2839.8284,,0,FULL,c208_21
0.01,0.0,636.248894,2839.8284,,0,FULL,c208_21
0.03,0.0,648.847882,2839.8284,,0,FULL,c208_21
0.05,0.0,661.44687,2839.8284,,0,FULL,c208_21
0.1,0.0,692.94434,2839.8284,,0,FULL,c208_21
0.0,0.05,629.9494,2981.81982,,0,FULL,c208_21
0.01,0.05,636.248894,2981.81982,,0,FULL,c208_21
0.03,0.05,648.847882,2981.81982,,0,FULL,c208_21
0.05,0.05,661.44687,2981.81982,0.0746,5,FULL,c208_21
0.1,0.05,692.94434,2981.81982,0.0409,61,FULL,c208_21
0.0,0.0,1615.8395,221.0502,,0,FULL,r101_21
0.01,0.0,1631.997895,221.0502,,0,FULL,r101_21
0.03,0.0,1664.314685,221.0502,,0,FULL,r101_21
0.05,0.0,1696.6314750000001,221.0502,0.0937,1,FULL,r101_21
0.1,0.0,1777.4234500000002,221.0502,0.0726,3,FULL,r101_21
0.0,0.05,1615.8395,232.10271,0.1253,1,FULL,r101_21
0.01,0.05,1631.997895,232.10271,0.1162,4,FULL,r101_21
0.03,0.05,1664.314685,232.10271,0.0695,56,FULL,r101_21
0.05,0.05,1696.6314750000001,232.10271,0.067,98,FULL,r101_21
0.1,0.05,1777.4234500000002,232.10271,0.0337,201,FULL,r101_21
0.0,0.0,262.9248,202.0,0.1824,10,FULL,r102C10
