Instance,Variant,HV3D
r211_21,No-EQ,0.8983864575
rc101_21,FULL,0.7274052450000001
rc101_21,No-EQ,0.5165091225
rc102C10,FULL,0.79709427
rc102C10,No-EQ,0.0537138
rc102_21,FULL,0.7512523200000001
rc102_21,No-EQ,0.4156568325
rc103C15,FULL,0.7984834200000002
rc103C15,No-EQ,0.06955011000000001
rc103_21,FULL,0.760467015
rc103_21,No-EQ,0.5114618775
rc104_21,FULL,0.7024931550000001
rc104_21,No-EQ,0.5742977625000001
rc105C5,FULL,1.0601992800000002
rc105C5,No-EQ,0.0537138
rc105_21,FULL,0.6428523150000001
rc105_21,No-EQ,0.52343172
rc106_21,FULL,0.7202742750000001
rc106_21,No-EQ,0.4641381675000001
rc107_21,FULL,0.8272388250000001
rc107_21,No-EQ,0.6267844800000001
rc108C10,FULL,0.7913061450000001
rc108C10,No-EQ,0.46682385750000005
rc108C15,FULL,0.7071699600000001
rc108C15,No-EQ,0.5888143800000001
rc108C5,FULL,0.5852025900000001
rc108C5,No-EQ,0.0537138
rc108_21,FULL,0.7509050325000001
rc108_21,No-EQ,0.4347807975000001
rc201C10,FULL,1.1576250000000001
rc201C10,No-EQ,1.1576250000000001
rc201_21,FULL,0.9192005550000001
rc201_21,No-EQ,0.8047114425
rc202C15,FULL,0.9839349450000001
rc202C15,No-EQ,0.0537138
rc202_21,FULL,0.8542809450000001
rc202_21,No-EQ,0.8307580050000001
rc203_21,FULL,1.0677006900000001
rc203_21,No-EQ,0.791213535
rc204C15,FULL,0.38231723250000005
rc204C15,No-EQ,0.36048442500000005
rc204C5,FULL,0.10870098750000001
rc204C5,No-EQ,0.10870098750000001
rc204_21,FULL,1.0398019275000001
rc204_21,No-EQ,0.9190384875000002
rc205C10,FULL,0.8101291275000001
rc205C10,No-EQ,0.0574182
rc205_21,FULL,0.9389033325000001
rc205_21,No-EQ,0.6595684200000002
rc206_21,FULL,0.7553040075000002
rc206_21,No-EQ,0.7378701750000001
rc207_21,FULL,0.92971179
rc207_21,No-EQ,0.80265087
rc208C5,FULL,1.1576250000000001
rc208C5,No-EQ,1.1576250000000001
rc208_21,FULL,0.9021371625000001
rc208_21,No-EQ,0.8626853025000001
